City,Anaa,AAA,NULL,NULL,French Polynesia,PF
Airport,Antigua,ANU,Antigua,ANU,Antigua And Barbuda,AG
City,Antigua,ANU,NULL,NULL,Antigua And Barbuda,AG
City,Barbuda,BBQ,NULL,NULL,Antigua And Barbuda,AG
Airport,Barbuda,BBQ,Barbuda,BBQ,Antigua And Barbuda,AG
Airport,Buenos Aires Aeroparque J. Newbery,AEP,Buenos Aires,BUE,Argentina,AR
City,San Rafael,AFA,NULL,NULL,Argentina,AR
Airport,San Rafael,AFA,San Rafael,AFA,Argentina,AR
City,Bahia Blanca,BHI,NULL,NULL,Argentina,AR
Airport,Bahia Blanca,BHI,Bahia Blanca,BHI,Argentina,AR
Airport,San Carlos de Bariloche,BRC,San Carlos de Bariloche,BRC,Argentina,AR
City,San Carlos de Bariloche,BRC,NULL,NULL,Argentina,AR
City,Buenos Aires,BUE,NULL,NULL,Argentina,AR
City,Corrientes,CNQ,NULL,NULL,Argentina,AR
Airport,Corrientes,CNQ,Corrientes,CNQ,Argentina,AR
City,Cordoba,COR,NULL,NULL,Argentina,AR
Airport,Cordoba,COR,Cordoba,COR,Argentina,AR
City,San Martin de Los Andes,CPC,NULL,NULL,Argentina,AR
Airport,San Martin de Los Andes,CPC,San Martin de Los Andes,CPC,Argentina,AR
Airport,Comodoro Rivadavia,CRD,Comodoro Rivadavia,CRD,Argentina,AR
City,Comodoro Rivadavia,CRD,NULL,NULL,Argentina,AR
Airport,Catamarca,CTC,Catamarca,CTC,Argentina,AR
City,Catamarca,CTC,NULL,NULL,Argentina,AR
Airport,Esquel,EQS,Esquel,EQS,Argentina,AR
City,Esquel,EQS,NULL,NULL,Argentina,AR
Airport,Buenos Aires Ministro Pistarini,EZE,Buenos Aires,BUE,Argentina,AR
Airport,Formosa,FMA,Formosa,FMA,Argentina,AR
City,Formosa,FMA,NULL,NULL,Argentina,AR
City,El Calafate,FTE,NULL,NULL,Argentina,AR
Airport,El Calafate,FTE,El Calafate,FTE,Argentina,AR
City,Gobernador Gregores,GGS,NULL,NULL,Argentina,AR
Airport,Gobernador Gregores,GGS,Gobernador Gregores,GGS,Argentina,AR
Airport,Iguazu,IGR,Iguazu,IGR,Argentina,AR
City,Iguazu,IGR,NULL,NULL,Argentina,AR
Airport,Lago Argentino,ING,Lago Argentino,ING,Argentina,AR
City,Lago Argentino,ING,NULL,NULL,Argentina,AR
Airport,La Rioja,IRJ,La Rioja,IRJ,Argentina,AR
City,La Rioja,IRJ,NULL,NULL,Argentina,AR
Airport,Jujuy,JUJ,Jujuy,JUJ,Argentina,AR
City,Jujuy,JUJ,NULL,NULL,Argentina,AR
City,San Luis,LUQ,NULL,NULL,Argentina,AR
Airport,San Luis,LUQ,San Luis,LUQ,Argentina,AR
Airport,Mar del Plata,MDQ,Mar del Plata,MDQ,Argentina,AR
City,Mar del Plata,MDQ,NULL,NULL,Argentina,AR
Airport,Mendoza,MDZ,Mendoza,MDZ,Argentina,AR
City,Mendoza,MDZ,NULL,NULL,Argentina,AR
City,Miramar,MJR,NULL,NULL,Argentina,AR
Airport,Miramar,MJR,Miramar,MJR,Argentina,AR
City,Necochea,NEC,NULL,NULL,Argentina,AR
Airport,Necochea,NEC,Necochea,NEC,Argentina,AR
Airport,Neuquen,NQN,Neuquen,NQN,Argentina,AR
City,Neuquen,NQN,NULL,NULL,Argentina,AR
City,San Antonio Oeste,OES,NULL,NULL,Argentina,AR
Airport,San Antonio Oeste,OES,San Antonio Oeste,OES,Argentina,AR
Airport,Puerto Madryn,PMY,Puerto Madryn,PMY,Argentina,AR
City,Puerto Madryn,PMY,NULL,NULL,Argentina,AR
City,Parana,PRA,NULL,NULL,Argentina,AR
